Enrollment ID,Course Name,Student ID,Enrollment Timestamp,Completion Status
46,Introduction to Data Science,269,2024-03-07 10:43:23,Completed
47,CPP,1829,2024-07-30 10:43:23,In Progress
48,Introduction to Data Science,1336,2024-06-07 10:43:23,Completed
49,Introduction to Data Science,1763,2024-06-28 10:43:23,In Progress
50,Mobile Computing,427,2023-10-31 10:43:23,In Progress
51,Introduction to Data Science,947,2023-10-09 10:43:23,In Progress
52,Introduction to Data Science,831,2023-11-18 10:43:23,In Progress
53,Introduction to Data Science,713,2023-11-22 10:43:23,In Progress
54,Mobile Computing,1573,2024-06-25 10:43:23,In Progress
55,Mobile Computing,369,2024-05-20 10:43:23,In Progress
56,CPP,958,2024-08-08 10:43:23,Completed
57,CPP,926,2024-04-02 10:43:23,Completed
58,Introduction to Data Science,842,2024-05-04 10:43:23,In Progress
59,Mobile Computing,1579,2023-10-09 10:43:23,In Progress
60,Mobile Computing,783,2023-10-23 10:43:23,Completed
61,Introduction to Data Science,1719,2023-11-12 10:43:23,In Progress
62,CPP,1929,2024-03-13 10:43:23,In Progress
63,CPP,495,2024-02-11 10:43:23,Completed
64,Introduction to Data Science,332,2024-09-07 10:43:23,In Progress
65,Introduction to Data Science,1811,2024-01-20 10:43:23,Completed
66,CPP,1242,2023-12-03 10:43:23,Completed
67,Introduction to Data Science,307,2024-03-01 10:43:23,Completed
68,CPP,228,2023-12-10 10:43:23,Completed
69,CPP,1717,2024-09-14 10:43:23,In Progress
70,CPP,1329,2024-03-25 10:43:23,Completed
71,CPP,1410,2024-02-01 10:43:23,Completed
72,Mobile Computing,1143,2024-08-29 10:43:23,Completed
73,Introduction to Data Science,467,2023-11-05 10:43:23,Completed
74,Introduction to Data Science,1987,2024-07-19 10:43:23,In Progress
75,Mobile Computing,1461,2024-04-14 10:43:23,In Progress
76,Mobile Computing,1334,2024-05-10 10:43:23,In Progress
77,Introduction to Data Science,1423,2023-10-30 10:43:23,In Progress
78,Introduction to Data Science,1524,2023-11-22 10:43:23,Completed
79,Introduction to Data Science,1667,2023-10-20 10:43:23,In Progress
80,CPP,544,2023-12-04 10:43:23,Completed
81,Mobile Computing,782,2024-05-21 10:43:23,Completed
82,CPP,1429,2024-06-17 10:43:23,In Progress
83,CPP,1984,2024-06-05 10:43:23,In Progress
84,Mobile Computing,1005,2024-09-02 10:43:23,Completed
85,CPP,1861,2024-01-31 10:43:23,In Progress
86,Introduction to Data Science,1893,2024-07-30 10:43:23,Completed
87,Mobile Computing,1256,2023-11-23 10:43:23,In Progress
88,Introduction to Data Science,1774,2024-05-08 10:43:23,Completed
89,CPP,1941,2024-08-20 10:43:23,Completed
90,CPP,1484,2024-01-04 10:43:23,Completed
91,Introduction to Data Science,565,2024-09-16 10:43:23,In Progress
92,CPP,636,2024-03-20 10:43:23,In Progress
93,CPP,1030,2024-01-26 10:43:23,In Progress
94,Mobile Computing,1594,2023-11-28 10:43:23,Completed
95,Introduction to Data Science,17,2024-05-08 10:43:23,Completed
96,Introduction to Data Science,79,2024-06-06 10:43:23,In Progress
97,CPP,1764,2024-05-07 10:43:23,Completed
98,Mobile Computing,1171,2024-09-05 10:43:23,Completed
99,CPP,1110,2024-08-04 10:43:23,Completed
100,Introduction to Data Science,637,2024-02-01 10:43:23,Completed
101,Introduction to Data Science,1057,2024-01-02 10:43:23,Completed
102,Introduction to Data Science,1061,2024-07-29 10:43:23,Completed
103,CPP,324,2024-07-26 10:43:23,Completed
104,Mobile Computing,1493,2023-12-02 10:43:23,Completed
105,Mobile Computing,68,2024-09-21 10:43:23,Completed
106,CPP,834,2024-06-15 10:43:23,In Progress
107,Mobile Computing,1793,2024-09-11 10:43:23,In Progress
108,Mobile Computing,645,2024-04-11 10:43:23,In Progress
109,CPP,217,2024-08-06 10:43:23,In Progress
110,Introduction to Data Science,1371,2024-02-19 10:43:23,Completed
111,Mobile Computing,1854,2024-02-09 10:43:23,In Progress
112,Mobile Computing,1863,2024-06-24 10:43:23,Completed
113,Mobile Computing,532,2024-09-06 10:43:23,Completed
114,Mobile Computing,1185,2024-07-02 10:43:23,Completed
115,CPP,1279,2024-03-07 10:43:23,In Progress
116,CPP,1221,2023-12-12 10:43:23,Completed
117,Mobile Computing,608,2024-05-07 10:43:23,Completed
118,Introduction to Data Science,1851,2024-04-02 10:43:23,In Progress
119,Mobile Computing,242,2024-05-19 10:43:23,Completed
120,CPP,1024,2023-12-06 10:43:23,In Progress
121,Mobile Computing,257,2023-12-19 10:43:23,In Progress
122,Introduction to Data Science,218,2023-12-04 10:43:23,In Progress
123,Introduction to Data Science,1412,2024-04-07 10:43:23,In Progress
124,Introduction to Data Science,982,2024-02-12 10:43:23,Completed
125,Mobile Computing,586,2023-10-24 10:43:23,Completed
126,Introduction to Data Science,1236,2024-01-26 10:43:23,Completed
127,Introduction to Data Science,19,2023-12-24 10:43:23,In Progress
128,Introduction to Data Science,554,2023-12-09 10:43:23,In Progress
129,Mobile Computing,146,2024-06-10 10:43:23,In Progress
130,CPP,1052,2023-11-08 10:43:23,In Progress
131,Mobile Computing,745,2024-01-21 10:43:23,In Progress
132,Mobile Computing,856,2024-06-20 10:43:23,In Progress
133,Introduction to Data Science,1718,2024-06-16 10:43:23,In Progress
134,CPP,1764,2024-02-26 10:43:23,In Progress
135,CPP,194,2024-03-12 10:43:23,In Progress
136,Introduction to Data Science,1441,2023-11-05 10:43:23,Completed
137,Mobile Computing,1751,2024-08-05 10:43:23,Completed
138,CPP,1100,2024-04-21 10:43:23,In Progress
139,Introduction to Data Science,636,2024-04-08 10:43:23,In Progress
140,Introduction to Data Science,1954,2024-01-14 10:43:23,Completed
141,Mobile Computing,1406,2024-03-07 10:43:23,In Progress
142,CPP,1451,2024-06-09 10:43:23,In Progress
143,Mobile Computing,516,2024-06-10 10:43:23,Completed
144,Mobile Computing,923,2024-03-27 10:43:23,Completed
145,Introduction to Data Science,1716,2024-07-05 10:43:23,In Progress
146,CPP,151,2023-12-05 10:43:23,In Progress
147,Introduction to Data Science,331,2024-08-21 10:43:23,Completed
148,CPP,1774,2024-01-16 10:43:23,Completed
149,CPP,1844,2023-12-06 10:43:23,Completed
150,Mobile Computing,553,2023-09-28 10:43:23,In Progress
151,Introduction to Data Science,1406,2024-07-17 10:43:23,In Progress
152,CPP,950,2024-09-22 10:43:23,Completed
153,CPP,1346,2023-11-19 10:43:23,Completed
154,Introduction to Data Science,414,2024-01-17 10:43:23,In Progress
155,CPP,1333,2024-07-16 10:43:23,Completed
156,Introduction to Data Science,4,2023-12-17 10:43:23,In Progress
157,Mobile Computing,493,2023-12-06 10:43:23,Completed
158,Introduction to Data Science,329,2024-06-07 10:43:23,Completed
159,Introduction to Data Science,296,2024-06-25 10:43:23,Completed
160,CPP,455,2023-12-04 10:43:23,In Progress
161,Mobile Computing,1613,2024-04-06 10:43:23,Completed
162,CPP,1740,2024-04-24 10:43:23,In Progress
163,CPP,925,2024-08-04 10:43:23,Completed
164,CPP,831,2024-05-26 10:43:23,Completed
165,CPP,1968,2024-03-09 10:43:23,Completed
166,CPP,930,2024-02-19 10:43:23,In Progress
167,Mobile Computing,503,2024-01-26 10:43:23,Completed
168,Mobile Computing,1631,2024-01-09 10:43:23,Completed
169,Mobile Computing,1938,2024-07-20 10:43:23,Completed
170,Mobile Computing,1851,2024-01-10 10:43:23,Completed
171,Introduction to Data Science,1027,2024-04-12 10:43:23,Completed
172,CPP,932,2024-03-06 10:43:23,In Progress
173,CPP,397,2023-12-17 10:43:23,Completed
174,Mobile Computing,35,2023-10-05 10:43:23,Completed
175,Mobile Computing,1803,2023-10-02 10:43:23,In Progress
176,Mobile Computing,700,2023-10-01 10:43:23,In Progress
177,Mobile Computing,1986,2024-07-15 10:43:23,In Progress
178,Mobile Computing,894,2024-06-18 10:43:23,In Progress
179,Introduction to Data Science,772,2023-10-29 10:43:23,In Progress
180,Mobile Computing,1223,2024-03-09 10:43:23,In Progress
181,Mobile Computing,695,2024-04-22 10:43:23,Completed
182,CPP,1433,2024-04-21 10:43:23,In Progress
183,Introduction to Data Science,1430,2024-03-30 10:43:23,Completed
184,CPP,361,2024-05-01 10:43:23,Completed
185,Mobile Computing,1712,2023-12-08 10:43:23,Completed
186,CPP,1755,2024-08-01 10:43:23,In Progress
187,Mobile Computing,1243,2024-09-01 10:43:23,In Progress
188,CPP,100,2024-04-10 10:43:23,Completed
189,Introduction to Data Science,1793,2024-03-03 10:43:23,In Progress
190,CPP,829,2023-09-26 10:43:23,Completed
191,Mobile Computing,1408,2023-10-21 10:43:23,In Progress
192,Mobile Computing,862,2024-04-10 10:43:23,Completed
193,Introduction to Data Science,777,2024-03-28 10:43:23,In Progress
194,Mobile Computing,1671,2024-01-04 10:43:23,Completed
195,CPP,1144,2024-04-28 10:43:23,In Progress
196,Mobile Computing,934,2024-01-13 10:43:23,Completed
197,CPP,62,2024-07-17 10:43:23,Completed
198,CPP,775,2023-11-04 10:43:23,Completed
199,CPP,1811,2023-11-01 10:43:23,Completed
200,CPP,1134,2023-12-23 10:43:23,Completed
201,Mobile Computing,1187,2024-08-03 10:43:23,In Progress
202,CPP,429,2024-07-04 10:43:23,Completed
203,Introduction to Data Science,1697,2024-03-31 10:43:23,Completed
204,CPP,1456,2024-07-21 10:43:23,Completed
205,CPP,129,2024-09-05 10:43:23,In Progress
206,CPP,182,2024-01-08 10:43:23,Completed
207,Introduction to Data Science,796,2024-06-22 10:43:23,In Progress
208,CPP,1008,2024-03-12 10:43:23,Completed
209,Introduction to Data Science,989,2024-08-12 10:43:23,Completed
210,Mobile Computing,1446,2024-02-29 10:43:23,Completed
211,CPP,1771,2024-08-10 10:43:23,In Progress
212,CPP,1329,2023-10-12 10:43:23,In Progress
213,Introduction to Data Science,332,2024-03-20 10:43:23,Completed
214,Introduction to Data Science,1150,2024-01-24 10:43:23,In Progress
215,Introduction to Data Science,1953,2024-03-04 10:43:23,Completed
216,Mobile Computing,1974,2024-07-03 10:43:23,Completed
217,Introduction to Data Science,624,2024-09-07 10:43:23,In Progress
218,CPP,42,2023-10-30 10:43:23,In Progress
219,CPP,1902,2024-04-15 10:43:23,In Progress
220,CPP,1295,2024-06-15 10:43:23,Completed
221,Introduction to Data Science,1346,2024-06-22 10:43:23,Completed
222,Introduction to Data Science,720,2024-07-12 10:43:23,Completed
223,Introduction to Data Science,1885,2024-03-15 10:43:23,Completed
224,Mobile Computing,84,2024-06-19 10:43:23,Completed
225,Introduction to Data Science,1985,2023-10-29 10:43:23,In Progress
226,Introduction to Data Science,1425,2024-02-27 10:43:23,Completed
227,Introduction to Data Science,572,2024-06-21 10:43:23,In Progress
228,Introduction to Data Science,1096,2024-08-02 10:43:23,In Progress
229,Introduction to Data Science,1877,2024-05-23 10:43:23,Completed
230,Introduction to Data Science,9,2024-02-27 10:43:23,Completed
231,Introduction to Data Science,824,2024-08-13 10:43:23,In Progress
232,Introduction to Data Science,1350,2024-04-22 10:43:23,Completed
233,Mobile Computing,1903,2024-08-25 10:43:23,Completed
234,Mobile Computing,68,2024-04-23 10:43:23,Completed
235,CPP,970,2024-03-05 10:43:23,Completed
236,Mobile Computing,511,2023-11-22 10:43:23,Completed
237,Introduction to Data Science,1945,2024-01-11 10:43:23,In Progress
238,CPP,19,2024-08-10 10:43:23,Completed
239,Introduction to Data Science,693,2023-10-08 10:43:23,Completed
240,Introduction to Data Science,1588,2024-07-29 10:43:23,Completed
241,Introduction to Data Science,1447,2024-01-01 10:43:23,In Progress
242,Mobile Computing,428,2023-10-18 10:43:23,Completed
243,Introduction to Data Science,900,2024-02-26 10:43:23,Completed
244,CPP,1502,2024-09-10 10:43:23,Completed
245,CPP,1707,2023-10-05 10:43:23,Completed
246,CPP,398,2023-12-17 10:43:23,In Progress
247,CPP,1771,2024-07-05 10:43:23,In Progress
248,CPP,1267,2024-03-17 10:43:23,In Progress
249,Introduction to Data Science,1700,2024-07-10 10:43:23,In Progress
250,Mobile Computing,283,2024-05-14 10:43:23,In Progress
251,Introduction to Data Science,577,2024-07-13 10:43:23,Completed
252,CPP,313,2024-01-05 10:43:23,In Progress
253,Mobile Computing,1384,2023-11-14 10:43:23,In Progress
254,CPP,242,2024-03-31 10:43:23,Completed
255,Introduction to Data Science,600,2024-04-20 10:43:23,Completed
256,Mobile Computing,1338,2024-05-01 10:43:23,Completed
257,CPP,1139,2024-04-23 10:43:23,In Progress
258,CPP,1305,2023-09-27 10:43:23,Completed
259,CPP,544,2024-01-27 10:43:23,Completed
260,Mobile Computing,1233,2024-05-14 10:43:23,Completed
261,Mobile Computing,659,2024-07-20 10:43:23,Completed
262,Introduction to Data Science,344,2024-06-14 10:43:23,Completed
263,Mobile Computing,149,2024-06-28 10:43:23,Completed
264,Introduction to Data Science,732,2024-04-17 10:43:23,In Progress
265,Mobile Computing,1057,2023-10-22 10:43:23,In Progress
266,CPP,1602,2024-04-02 10:43:23,Completed
267,Mobile Computing,1874,2023-12-06 10:43:23,In Progress
268,Mobile Computing,223,2024-07-26 10:43:23,Completed
269,Introduction to Data Science,1236,2024-04-06 10:43:23,Completed
270,Introduction to Data Science,607,2024-06-06 10:43:23,In Progress
271,Mobile Computing,1346,2024-07-17 10:43:23,In Progress
272,CPP,624,2024-09-06 10:43:23,In Progress
273,Mobile Computing,1045,2024-07-20 10:43:23,In Progress
274,CPP,1325,2024-06-17 10:43:23,Completed
275,Introduction to Data Science,191,2024-06-17 10:43:23,In Progress
276,Introduction to Data Science,867,2024-06-23 10:43:23,Completed
277,Mobile Computing,1489,2024-08-19 10:43:23,Completed
278,Mobile Computing,1312,2023-12-23 10:43:23,In Progress
279,CPP,1687,2024-01-11 10:43:23,Completed
280,CPP,1035,2024-01-04 10:43:23,Completed
281,Mobile Computing,194,2023-09-25 10:43:23,In Progress
282,CPP,239,2024-04-21 10:43:23,In Progress
283,CPP,1090,2024-05-29 10:43:23,In Progress
284,CPP,1516,2024-05-07 10:43:23,In Progress
285,Mobile Computing,317,2024-02-18 10:43:23,In Progress
286,Introduction to Data Science,837,2024-07-05 10:43:23,Completed
287,CPP,790,2024-04-02 10:43:23,In Progress
288,CPP,195,2023-10-30 10:43:23,In Progress
289,Introduction to Data Science,186,2023-10-10 10:43:23,Completed
290,CPP,605,2024-03-31 10:43:23,Completed
291,Introduction to Data Science,887,2024-02-20 10:43:23,Completed
292,CPP,565,2023-10-25 10:43:23,In Progress
293,Introduction to Data Science,1947,2024-07-12 10:43:23,In Progress
294,Mobile Computing,1531,2024-07-09 10:43:23,Completed
295,Introduction to Data Science,1872,2024-06-05 10:43:23,In Progress
296,Mobile Computing,60,2024-03-03 10:43:23,Completed
297,Introduction to Data Science,266,2023-12-18 10:43:23,In Progress
298,Introduction to Data Science,1512,2024-06-05 10:43:23,In Progress
299,CPP,1765,2024-09-03 10:43:23,In Progress
300,CPP,1963,2024-06-25 10:43:23,Completed
301,Mobile Computing,1934,2024-01-28 10:43:23,Completed
302,Introduction to Data Science,800,2024-08-11 10:43:23,In Progress
303,CPP,1338,2024-04-16 10:43:23,In Progress
304,CPP,265,2023-10-15 10:43:23,Completed
305,CPP,1674,2024-02-03 10:43:23,In Progress
306,Mobile Computing,436,2023-11-24 10:43:23,Completed
307,Introduction to Data Science,1826,2024-06-13 10:43:23,Completed
308,CPP,1680,2024-01-19 10:43:23,In Progress
309,Introduction to Data Science,1413,2024-07-21 10:43:23,Completed
310,CPP,29,2023-12-24 10:43:23,Completed
311,Mobile Computing,269,2024-04-13 10:43:23,In Progress
312,Mobile Computing,1313,2024-07-10 10:43:23,Completed
313,Mobile Computing,1780,2024-04-20 10:43:23,In Progress
314,Mobile Computing,1996,2024-07-01 10:43:23,Completed
315,CPP,1298,2024-08-04 10:43:23,Completed
316,Introduction to Data Science,1381,2024-04-12 10:43:23,In Progress
317,CPP,1126,2024-01-19 10:43:23,In Progress
318,Mobile Computing,1330,2024-05-24 10:43:23,In Progress
319,Mobile Computing,1328,2024-07-20 10:43:23,In Progress
320,Introduction to Data Science,450,2024-03-01 10:43:23,Completed
321,Introduction to Data Science,470,2024-05-08 10:43:23,Completed
322,Introduction to Data Science,632,2023-11-04 10:43:23,Completed
323,Introduction to Data Science,1536,2024-09-22 10:43:23,In Progress
324,CPP,187,2024-01-27 10:43:23,Completed
325,CPP,1551,2024-04-11 10:43:23,Completed
326,CPP,195,2024-03-04 10:43:23,Completed
327,Introduction to Data Science,1333,2024-02-24 10:43:23,Completed
328,Introduction to Data Science,250,2024-02-21 10:43:23,Completed
329,Mobile Computing,1209,2023-12-01 10:43:23,In Progress
330,Mobile Computing,1725,2024-04-09 10:43:23,In Progress
331,CPP,1413,2023-11-02 10:43:23,Completed
332,Introduction to Data Science,1537,2024-03-08 10:43:23,Completed
333,Introduction to Data Science,51,2024-04-27 10:43:23,In Progress
334,Mobile Computing,1778,2023-11-30 10:43:23,Completed
335,CPP,1058,2023-11-15 10:43:23,In Progress
336,Mobile Computing,1945,2023-11-25 10:43:23,In Progress
337,CPP,915,2024-01-06 10:43:23,In Progress
338,CPP,1613,2023-10-31 10:43:23,In Progress
339,CPP,818,2024-06-19 10:43:23,In Progress
340,Mobile Computing,1275,2024-08-30 10:43:23,Completed
341,Introduction to Data Science,1117,2024-03-10 10:43:23,In Progress
342,Mobile Computing,707,2024-09-20 10:43:23,Completed
343,Introduction to Data Science,1520,2024-01-19 10:43:23,Completed
344,Mobile Computing,1571,2024-05-18 10:43:23,Completed
345,Introduction to Data Science,1199,2024-04-22 10:43:23,Completed
346,CPP,1719,2024-08-06 10:43:23,Completed
347,Mobile Computing,1760,2024-04-17 10:43:23,Completed
348,Introduction to Data Science,1239,2024-08-23 10:43:23,In Progress
349,CPP,85,2024-08-17 10:43:23,In Progress
350,Introduction to Data Science,406,2024-06-15 10:43:23,In Progress
351,CPP,754,2023-11-22 10:43:23,Completed
352,CPP,1776,2023-12-29 10:43:23,Completed
353,CPP,589,2023-12-14 10:43:23,In Progress
354,Mobile Computing,556,2023-09-29 10:43:23,Completed
355,Mobile Computing,1107,2024-07-30 10:43:23,Completed
356,Introduction to Data Science,1327,2024-06-24 10:43:23,In Progress
357,CPP,126,2024-05-03 10:43:23,Completed
358,Mobile Computing,7,2024-03-09 10:43:23,Completed
359,CPP,921,2023-12-26 10:43:23,In Progress
360,Mobile Computing,1409,2024-01-24 10:43:23,In Progress
361,Introduction to Data Science,1805,2024-08-22 10:43:23,In Progress
362,Introduction to Data Science,1424,2024-01-14 10:43:23,Completed
363,CPP,369,2024-06-20 10:43:23,Completed
364,Mobile Computing,81,2023-12-21 10:43:23,In Progress
365,CPP,339,2024-04-22 10:43:23,Completed
366,CPP,1348,2024-06-13 10:43:23,Completed
367,Mobile Computing,1751,2024-01-17 10:43:23,In Progress
368,Introduction to Data Science,881,2023-11-22 10:43:23,In Progress
369,CPP,1475,2024-01-05 10:43:23,Completed
370,CPP,173,2024-07-27 10:43:23,Completed
371,Introduction to Data Science,522,2024-09-07 10:43:23,In Progress
372,Introduction to Data Science,39,2024-03-15 10:43:23,In Progress
373,Mobile Computing,597,2023-12-30 10:43:23,In Progress
374,Mobile Computing,1712,2023-11-14 10:43:23,Completed
375,Mobile Computing,1960,2024-04-02 10:43:23,In Progress
376,Mobile Computing,1654,2024-04-29 10:43:23,Completed
377,Mobile Computing,103,2024-06-24 10:43:23,Completed
378,Introduction to Data Science,152,2023-10-30 10:43:23,In Progress
379,Introduction to Data Science,267,2024-02-09 10:43:23,Completed
380,Mobile Computing,1739,2024-03-19 10:43:23,Completed
381,Mobile Computing,237,2024-05-05 10:43:23,In Progress
382,Mobile Computing,1233,2024-06-25 10:43:23,In Progress
383,Introduction to Data Science,887,2024-01-07 10:43:23,Completed
384,CPP,881,2024-02-24 10:43:23,In Progress
385,CPP,1682,2024-02-18 10:43:23,In Progress
386,CPP,1209,2024-08-27 10:43:23,Completed
387,Introduction to Data Science,139,2023-10-16 10:43:23,In Progress
388,CPP,399,2024-03-20 10:43:23,In Progress
389,CPP,519,2024-01-19 10:43:23,In Progress
390,Mobile Computing,1591,2023-10-18 10:43:23,Completed
391,Introduction to Data Science,1261,2023-11-25 10:43:23,Completed
392,Introduction to Data Science,466,2024-01-02 10:43:23,In Progress
393,CPP,711,2023-12-26 10:43:23,In Progress
394,CPP,912,2024-06-16 10:43:23,Completed
395,Introduction to Data Science,1100,2024-05-13 10:43:23,Completed
396,Mobile Computing,59,2024-07-26 10:43:23,In Progress
397,CPP,554,2023-11-01 10:43:23,Completed
398,Introduction to Data Science,846,2023-10-13 10:43:23,Completed
399,CPP,426,2024-05-10 10:43:23,In Progress
400,Introduction to Data Science,240,2024-07-04 10:43:23,Completed
401,Introduction to Data Science,717,2023-10-28 10:43:23,Completed
402,Introduction to Data Science,1189,2024-04-18 10:43:23,In Progress
403,Mobile Computing,1263,2024-03-01 10:43:23,Completed
404,Introduction to Data Science,1562,2024-09-10 10:43:23,In Progress
405,CPP,247,2024-09-14 10:43:23,In Progress
406,CPP,751,2024-03-09 10:43:23,Completed
407,Introduction to Data Science,183,2024-06-01 10:43:23,Completed
408,CPP,1667,2024-05-22 10:43:23,In Progress
409,Introduction to Data Science,1902,2024-05-15 10:43:23,Completed
410,Mobile Computing,1295,2023-11-08 10:43:23,In Progress
411,CPP,891,2024-03-23 10:43:23,Completed
412,Mobile Computing,1210,2023-11-28 10:43:23,In Progress
413,Introduction to Data Science,1285,2023-10-19 10:43:23,Completed
414,Mobile Computing,1108,2024-08-31 10:43:23,In Progress
415,Mobile Computing,1316,2024-07-26 10:43:23,In Progress
416,Introduction to Data Science,958,2024-06-04 10:43:23,In Progress
417,Mobile Computing,43,2024-07-28 10:43:23,Completed
418,Introduction to Data Science,2000,2024-09-14 10:43:23,Completed
419,Introduction to Data Science,464,2023-09-28 10:43:23,In Progress
420,Mobile Computing,804,2024-05-24 10:43:23,In Progress
421,CPP,556,2023-11-13 10:43:23,In Progress
422,CPP,186,2024-07-21 10:43:23,Completed
423,Introduction to Data Science,625,2024-03-30 10:43:23,Completed
424,Mobile Computing,1192,2024-06-06 10:43:23,In Progress
425,Mobile Computing,1527,2024-05-11 10:43:23,In Progress
426,CPP,329,2024-04-28 10:43:23,Completed
427,Introduction to Data Science,285,2024-07-25 10:43:23,In Progress
428,Mobile Computing,912,2024-08-09 10:43:23,In Progress
429,CPP,1109,2024-06-17 10:43:23,Completed
430,CPP,1512,2023-12-24 10:43:23,Completed
431,Mobile Computing,1381,2024-06-07 10:43:23,In Progress
432,Introduction to Data Science,950,2023-10-21 10:43:23,In Progress
433,CPP,422,2024-04-17 10:43:23,In Progress
434,CPP,1111,2023-12-22 10:43:23,Completed
435,Mobile Computing,1080,2024-01-17 10:43:23,Completed
436,CPP,1374,2024-09-15 10:43:23,Completed
437,Mobile Computing,850,2023-09-29 10:43:23,In Progress
438,CPP,31,2024-07-01 10:43:23,Completed
439,CPP,1318,2024-09-18 10:43:23,In Progress
440,Mobile Computing,698,2024-07-28 10:43:23,In Progress
441,Mobile Computing,498,2023-12-31 10:43:23,Completed
442,Mobile Computing,1727,2024-09-10 10:43:23,In Progress
443,Mobile Computing,1925,2024-01-18 10:43:23,In Progress
444,Mobile Computing,1988,2024-02-14 10:43:23,In Progress
445,Mobile Computing,881,2024-01-09 10:43:23,In Progress
446,Mobile Computing,1946,2024-06-09 10:43:23,Completed
447,Mobile Computing,1680,2024-04-21 10:43:23,In Progress
448,Introduction to Data Science,1624,2024-05-08 10:43:23,In Progress
449,CPP,1052,2024-08-22 10:43:23,Completed
450,CPP,1717,2024-08-20 10:43:23,Completed
451,CPP,427,2024-06-13 10:43:23,In Progress
452,Introduction to Data Science,1505,2023-09-26 10:43:23,Completed
453,Introduction to Data Science,464,2023-11-04 10:43:23,In Progress
454,Introduction to Data Science,1297,2023-12-15 10:43:23,In Progress
455,CPP,908,2024-05-22 10:43:23,Completed
456,Mobile Computing,478,2023-10-24 10:43:23,In Progress
457,Introduction to Data Science,964,2024-02-15 10:43:23,In Progress
458,Mobile Computing,1023,2024-03-05 10:43:23,In Progress
459,Mobile Computing,1229,2023-10-24 10:43:23,Completed
460,Mobile Computing,880,2023-10-23 10:43:23,In Progress
461,Introduction to Data Science,1196,2024-08-24 10:43:23,Completed
462,Mobile Computing,923,2024-05-18 10:43:23,Completed
463,Mobile Computing,107,2023-10-27 10:43:23,In Progress
464,CPP,1705,2024-09-01 10:43:23,In Progress
465,Mobile Computing,480,2024-03-21 10:43:23,In Progress
466,Introduction to Data Science,131,2024-03-30 10:43:23,In Progress
467,Mobile Computing,1304,2023-12-02 10:43:23,In Progress
468,CPP,1727,2024-08-22 10:43:23,In Progress
469,Mobile Computing,640,2024-09-13 10:43:23,Completed
470,Mobile Computing,576,2024-01-18 10:43:23,In Progress
471,Introduction to Data Science,1755,2024-02-03 10:43:23,In Progress
472,Introduction to Data Science,1882,2024-08-16 10:43:23,Completed
473,CPP,424,2024-06-30 10:43:23,Completed
474,Introduction to Data Science,334,2024-09-19 10:43:23,In Progress
475,Mobile Computing,1530,2024-03-23 10:43:23,In Progress
